0 , 0 ;
 

1 , 1506248233827 ;
2 , 1506248234034 ;
3 , 1506248234225 ;
4 , 1506248234443 ;
5 , 1506248234626 ;
6 , 1506248234846 ;
7 , 1506248235053 ;
8 , 1506248235255 ;
9 , 1506248235477 ;
10 , 1506248235669 ;
11 , 1506248235896 ;
12 , 1506248236100 ;
13 , 1506248236323 ;
14 , 1506248236528 ;
15 , 1506248236757 ;
16 , 1506248236952 ;
17 , 1506248237131 ;
18 , 1506248237366 ;
19 , 1506248237544 ;
20 , 1506248237999 ;
21 , 1506248238247 ;
22 , 1506248238476 ;
23 , 1506248238725 ;
24 , 1506248238925 ;
